City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
4,Guinayangan,PH,76.42,overcast clouds,13.9006,122.4519,Bahay Ni Sofia
5,Rikitea,PF,78.87,overcast clouds,-23.1203,-134.9692,Pension Maro'i
12,Pailitas,CO,79.36,overcast clouds,8.9565,-73.6255,HOTEL JECENTER
13,Palembang,ID,84.2,broken clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
17,Busselton,AU,75.99,clear sky,-33.65,115.3333,Observatory Guest House
18,Avarua,CK,80.6,overcast clouds,-21.2078,-159.775,Paradise Inn
25,Puerto Ayora,EC,75.99,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
29,Atuona,PF,78.58,clear sky,-9.8,-139.0333,Villa Enata
31,Rawson,AR,85.17,clear sky,-43.3002,-65.1023,Hosteria Sampedro
33,Manadhoo,MV,81.61,overcast clouds,5.7667,73.3833,Vevu Guesthouse
39,Axim,GH,78.84,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
47,Hithadhoo,MV,82.31,overcast clouds,-0.6,73.0833,Scoop Guest House
49,Myanaung,MM,89.15,clear sky,18.2833,95.3167,Taung Hlay Khar
53,Butaritari,KI,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
58,Bambous Virieux,MU,84.99,scattered clouds,-20.3428,57.7575,Casa Tia Villa
62,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
67,Charters Towers,AU,88.18,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
73,Laibin,CN,79.79,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
79,Matara,LK,85.12,few clouds,5.9485,80.5353,Amaloh Boutique Resort
82,Nisia Floresta,BR,78.8,few clouds,-6.0911,-35.2086,Rancho Crepusculo
88,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
90,Carnarvon,AU,84.2,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
93,Alofi,NU,80.6,moderate rain,-19.0595,-169.9187,Taloa Heights
99,Qui Nhon,VN,76.23,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
106,Kavaratti,IN,81.21,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
108,Tautira,PF,82.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
115,Sola,VU,76.8,overcast clouds,-13.8833,167.55,Leumerus Bungalows
116,Poum,NC,80.67,clear sky,-20.2333,164.0167,Gîte kajeon
119,Caravelas,BR,76.06,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
122,Singkang,MY,87.8,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
123,Saint-Philippe,RE,86.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
130,Arauca,CO,78.71,few clouds,7.0847,-70.7591,Hotel Verano Plaza
132,Bengkulu,ID,85.59,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,Morondava,MG,82.72,overcast clouds,-20.2833,44.2833,La Case Bambou
141,Beloha,MG,86.74,few clouds,-25.1667,45.05,
143,Brazzaville,CG,75.2,overcast clouds,-4.2658,15.2832,Hotel Murex
150,Port Blair,IN,83.07,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
157,Gold Coast,AU,82.4,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
160,Georgetown,MY,90.0,few clouds,5.4112,100.3354,Cititel Penang
167,Limbang,MY,84.2,broken clouds,4.75,115.0,Purnama Hotel
173,Kavieng,PG,83.37,moderate rain,-2.5744,150.7967,Nusa Island Retreat
175,Muisne,EC,76.66,light rain,0.6,-80.0333,Quinta Samay
176,Sinnamary,GF,76.62,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
189,Daru,PG,85.32,scattered clouds,-9.0763,143.2092,Daru Lodge
192,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
202,Touros,BR,77.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
204,Namatanai,PG,84.58,moderate rain,-3.6667,152.4333,Namatanai Hotel
207,Maningrida,AU,84.9,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
209,Puerto Escondido,MX,78.8,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
210,Mumford,GH,79.39,clear sky,5.2618,-0.759,Spanish Villa
213,Tura,IN,79.02,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
218,Mahebourg,MU,84.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
225,Sao Joao Da Barra,BR,75.97,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
231,Yabassi,CM,78.8,broken clouds,4.457,9.9682,MOTEL FOMI
235,Ilhabela,BR,79.21,moderate rain,-23.7781,-45.3581,Ilha Flat Hotel
237,Singapore,SG,89.6,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
239,Harper,LR,78.22,scattered clouds,4.375,-7.7169,Screensaver
242,Vao,NC,78.8,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
