City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Santana Do Paraiso,BR,2021-02-03 02:05:32,-19.3636,-42.5686,68.47,95,97,1.72
1,Okmulgee,US,2021-02-03 02:05:33,35.6234,-95.9605,46.4,49,1,9.22
2,Pisco,PE,2021-02-03 02:05:33,-13.7,-76.2167,73.0,73,0,6.91
3,Mar Del Plata,AR,2021-02-03 02:05:33,-38.0023,-57.5575,66.99,82,40,6.91
4,Bar-Le-Duc,FR,2021-02-03 02:03:38,48.75,5.1667,53.6,87,90,8.05
5,Barrow,US,2021-02-03 02:05:02,71.2906,-156.7887,-25.6,75,1,16.11
6,Rikitea,PF,2021-02-03 02:05:33,-23.1203,-134.9692,78.53,75,3,16.31
7,Yellowknife,CA,2021-02-03 02:05:33,62.456,-114.3525,-13.0,70,90,10.36
8,Kodiak,US,2021-02-03 02:05:33,57.79,-152.4072,35.6,87,90,12.66
9,Port Alfred,ZA,2021-02-03 02:05:33,-33.5906,26.891,71.91,66,43,5.77
10,Nikolskoye,RU,2021-02-03 02:05:34,59.7035,30.7861,21.99,86,75,15.66
11,Busselton,AU,2021-02-03 02:05:34,-33.65,115.3333,78.01,56,1,4.0
12,Tasiilaq,GL,2021-02-03 02:05:34,65.6145,-37.6368,21.2,93,90,6.91
13,Albany,US,2021-02-03 02:00:42,42.6001,-73.9662,27.0,87,100,1.99
14,Nantucket,US,2021-02-03 02:04:57,41.2835,-70.0995,36.0,100,90,17.27
15,East London,ZA,2021-02-03 02:05:34,-33.0153,27.9116,71.31,70,100,7.54
16,Mahebourg,MU,2021-02-03 02:05:34,-20.4081,57.7,78.8,83,20,1.14
17,Los Llanos De Aridane,ES,2021-02-03 02:05:34,28.6585,-17.9182,62.6,77,90,8.05
18,Vestmannaeyjar,IS,2021-02-03 02:05:34,63.4427,-20.2734,36.52,82,67,32.64
19,Bongor,TD,2021-02-03 02:05:34,10.2806,15.3722,69.15,23,0,7.2
20,Avarua,CK,2021-02-03 02:05:35,-21.2078,-159.775,82.4,74,75,10.36
21,Burnie,AU,2021-02-03 02:02:19,-41.0667,145.9167,70.0,45,83,5.19
22,Saint-Philippe,RE,2021-02-03 02:05:35,-21.3585,55.7679,78.8,69,0,5.75
23,Ushuaia,AR,2021-02-03 02:01:01,-54.8,-68.3,53.6,76,75,31.07
24,Cape Girardeau,US,2021-02-03 02:05:35,37.3834,-89.7168,32.0,80,1,5.75
25,Mataura,NZ,2021-02-03 02:05:35,-46.1927,168.8643,65.62,70,82,8.19
26,Quesnel,CA,2021-02-03 02:05:35,52.9999,-122.5029,21.2,86,90,9.22
27,Porbandar,IN,2021-02-03 02:05:35,21.6422,69.6093,62.6,59,18,4.61
28,Bogale,MM,2021-02-03 02:05:36,16.2833,95.4,71.13,52,0,6.87
29,Port Hardy,CA,2021-02-03 02:05:36,50.6996,-127.4199,44.6,81,75,6.91
30,Hobart,AU,2021-02-03 02:04:25,-42.8794,147.3294,70.0,51,75,9.22
31,Upernavik,GL,2021-02-03 02:05:37,72.7868,-56.1549,-7.51,86,100,4.72
32,Malinovskiy,RU,2021-02-03 02:05:37,61.1953,62.8397,4.26,93,74,6.35
33,Gornyak,RU,2021-02-03 02:05:37,50.9942,81.4661,22.12,96,100,14.25
34,Luanda,AO,2021-02-03 02:05:06,-8.8368,13.2343,78.8,83,40,6.91
35,Yumen,CN,2021-02-03 02:05:37,40.2833,97.2,26.04,64,83,8.63
36,Souillac,MU,2021-02-03 02:05:38,-20.5167,57.5167,78.8,83,20,1.14
37,Jutai,BR,2021-02-03 02:05:38,-5.1833,-68.9,73.9,96,100,2.93
38,Sinnamary,GF,2021-02-03 02:05:38,5.3833,-52.95,77.67,87,17,12.53
39,Biak,ID,2021-02-03 02:05:38,-0.9131,122.8766,78.57,82,100,2.8
40,Leshan,CN,2021-02-03 02:05:38,29.5623,103.7639,54.93,67,0,0.76
41,Abu Zabad,SD,2021-02-03 02:05:38,12.35,29.25,74.12,21,0,10.18
42,Torbay,CA,2021-02-03 02:05:19,47.6666,-52.7314,28.99,80,90,12.66
43,Cayenne,GF,2021-02-03 02:05:38,4.9333,-52.3333,80.6,89,75,11.5
44,Smithers,CA,2021-02-03 02:05:38,54.7804,-127.1743,24.8,68,90,9.22
45,Castro,BR,2021-02-03 02:05:39,-24.7911,-50.0119,67.01,90,100,1.45
46,Tecpan,GT,2021-02-03 02:05:39,14.7623,-90.9947,59.0,76,75,23.02
47,Adrar,MR,2021-02-03 02:05:39,20.5022,-10.0711,67.33,25,72,7.16
48,Acarau,BR,2021-02-03 02:05:39,-2.8856,-40.12,77.67,81,67,13.02
49,Punta Arenas,CL,2021-02-03 02:05:39,-53.15,-70.9167,57.2,67,90,21.85
50,Tuktoyaktuk,CA,2021-02-03 02:05:39,69.4541,-133.0374,-36.4,67,1,3.44
51,Hithadhoo,MV,2021-02-03 02:05:39,-0.6,73.0833,82.15,70,1,4.18
52,Cabra,ES,2021-02-03 02:05:40,37.4725,-4.4421,51.8,87,90,3.44
53,Kaeo,NZ,2021-02-03 02:05:40,-35.1,173.7833,73.35,53,1,7.38
54,Vardo,NO,2021-02-03 02:05:40,70.3705,31.1107,25.29,92,98,23.64
55,Kaitangata,NZ,2021-02-03 02:05:40,-46.2817,169.8464,64.0,74,46,21.0
56,Barguzin,RU,2021-02-03 02:05:40,53.6167,109.6167,-14.01,80,83,1.61
57,Klaksvik,FO,2021-02-03 02:05:40,62.2266,-6.589,30.2,86,0,10.36
58,Dolgoprudnyy,RU,2021-02-03 02:05:40,55.9041,37.5606,14.0,85,100,4.47
59,Verkhnevilyuysk,RU,2021-02-03 02:05:40,63.4453,120.3167,-30.64,83,100,8.77
60,Kabanjahe,ID,2021-02-03 02:05:41,3.1001,98.4908,78.8,94,20,4.61
61,Ainazi,LV,2021-02-03 02:05:41,57.8636,24.3578,27.72,95,100,8.52
62,Sao Filipe,CV,2021-02-03 02:05:41,14.8961,-24.4956,71.55,78,0,7.34
63,Vao,NC,2021-02-03 02:05:41,-22.6667,167.4833,78.44,76,58,43.22
64,Cape Town,ZA,2021-02-03 02:05:41,-33.9258,18.4232,68.0,82,0,16.11
65,Qaanaaq,GL,2021-02-03 02:05:41,77.484,-69.3632,-12.84,83,100,1.7
66,Moerai,PF,2021-02-03 02:05:41,-22.4333,-151.3333,81.39,61,0,1.79
67,Banjar,ID,2021-02-03 02:05:42,-8.19,114.9675,82.4,78,40,9.22
68,Saint-Raymond,CA,2021-02-03 02:04:21,45.467,-73.6095,28.99,93,100,8.05
69,Kirakira,SB,2021-02-03 02:05:42,-10.4544,161.9205,79.88,84,100,14.45
70,Norman Wells,CA,2021-02-03 02:05:42,65.282,-126.8329,-20.2,76,75,3.44
71,Byron Bay,AU,2021-02-03 02:05:42,-28.65,153.6167,80.6,61,7,14.97
72,Saskylakh,RU,2021-02-03 02:05:42,71.9167,114.0833,-2.52,91,100,13.06
73,Kodinsk,RU,2021-02-03 02:05:42,58.6881,99.1844,-9.67,88,100,3.67
